iter	MAE	RMSE
526	0.3740928178	0.4839062856
527	0.3737465151	0.4835315942
528	0.3733516442	0.4828895024
529	0.372987369	0.482229188
530	0.3724909965	0.481690305
531	0.3719244835	0.4806211178
532	0.3715906616	0.4801633908
533	0.3715135182	0.4801000417
534	0.3714292479	0.4800151707
535	0.3710452242	0.4794191249
536	0.3705440094	0.4786110241
537	0.3703945931	0.4783837995
538	0.3701149157	0.4779164778
539	0.3697492645	0.4772574485
540	0.3693247549	0.4768014789
541	0.3690764737	0.4765567609
542	0.3688156511	0.4763925809
543	0.3683410475	0.4759405207
544	0.367980603	0.4753936925
545	0.367456488	0.4747355822
546	0.3669130576	0.4740729449
547	0.3667231192	0.4737293601
548	0.3662228323	0.4727664724
549	0.3660447486	0.4725218991
550	0.3657460094	0.4721942131
551	0.3654024859	0.4716929632
552	0.3650672801	0.4712206574
553	0.3645702528	0.4703430527
554	0.3642612354	0.4698951257
555	0.3637486802	0.4692349252
556	0.3636735934	0.4691694269
557	0.3635800079	0.4691082675
558	0.3630482556	0.4684637797
559	0.3627972124	0.4681549614
560	0.3626126034	0.4679642192
561	0.3624048545	0.4675786317
562	0.3620749948	0.4672593179
563	0.3619783436	0.466918808
564	0.3617793406	0.4666458889
565	0.3616913124	0.4665934318
566	0.361575906	0.4665205876
567	0.361141453	0.4661608703
568	0.3610352756	0.4660931188
569	0.3609837637	0.4660541167
570	0.3604977603	0.4653233455
571	0.3604140769	0.465264787
572	0.3602390082	0.4649887345
573	0.3599963521	0.4646958394
574	0.3596163339	0.4640471917
575	0.3593259039	0.4637205195
576	0.3591546913	0.4634498807
577	0.3590724784	0.4633983605
578	0.3585899773	0.4628482705
579	0.358444466	0.4627845273
580	0.3583147819	0.462714365
581	0.3577296728	0.4619883702
582	0.3571728695	0.461260345
583	0.3569632531	0.4610609763
584	0.3568144958	0.4608272
585	0.3565311121	0.4604247253
586	0.3559640402	0.4597098682
587	0.3558784767	0.4596674481
588	0.3557066302	0.4594951163
589	0.3553729094	0.4589383361
590	0.3552245457	0.4587097951
591	0.3547357619	0.4581139959
592	0.3545744804	0.4579127758
593	0.3541638859	0.4574348598
594	0.3538755143	0.4571043648
595	0.3536442397	0.4566579748
596	0.3533036165	0.4561275352
597	0.3531416663	0.4558766092
598	0.3529296759	0.4556652575
599	0.3524265975	0.4548662525
600	0.3518794024	0.4541077845
601	0.3514651547	0.4533933758
602	0.3511693179	0.4530924456
603	0.3511146349	0.4530608388
604	0.3509202045	0.4527922184
605	0.3506458965	0.452502323
606	0.3503760826	0.4520798189
607	0.3498081038	0.4512945021
608	0.3494129785	0.4505022116
609	0.348851647	0.4497452648
610	0.3484553717	0.4491887798
611	0.348239332	0.4488791788
612	0.3481091766	0.4487102045
613	0.3475401502	0.4479746216
614	0.3474603634	0.4479110842
615	0.3471817605	0.447383829
616	0.3471236252	0.4473576596
617	0.3464647789	0.4465672095
618	0.3461245946	0.4461235855
619	0.3460564969	0.4460614566
620	0.3458958045	0.4457528941
621	0.3457165204	0.4455653831
622	0.3455512853	0.4453430957
623	0.3453663152	0.4451584308
624	0.3452257592	0.4449626515
625	0.3449081078	0.4444826623
626	0.3448423813	0.4444326364
627	0.3443509558	0.4438070332
628	0.3441322869	0.4433702874
629	0.3434054408	0.4423465638
630	0.3432977482	0.4421601277
631	0.342908545	0.4416451065
632	0.3425736807	0.4411518068
633	0.3423948686	0.4409240577
634	0.3418467782	0.440017387
635	0.3414242499	0.4394920124
636	0.3409551264	0.4387954723
637	0.3404044315	0.4380901064
638	0.3403209843	0.4380298244
639	0.3401275431	0.4378837053
640	0.3400371351	0.4378346684
641	0.3394658295	0.4368653018
642	0.3392179871	0.4366106126
643	0.3390098757	0.4362444583
644	0.3386138926	0.435643543
645	0.3385389633	0.4355382833
646	0.338314934	0.4353653465
647	0.3378507764	0.434454467
648	0.3376073278	0.4340469163
649	0.3374406002	0.4337112425
650	0.337084021	0.4331374274
651	0.3369249529	0.432927865
652	0.336707343	0.4327807939
653	0.3365609159	0.4326068673
654	0.3362528594	0.432124211
655	0.336126807	0.4319139721
656	0.3358464252	0.4315686677
657	0.3355492908	0.4312193503
658	0.335485649	0.4311746467
659	0.335381167	0.4311087905
660	0.3352147641	0.4308228186
661	0.3349810555	0.430454803
662	0.3345239249	0.4297257716
663	0.3344206958	0.429676525
664	0.3341879957	0.4293515436
665	0.3338758447	0.4288822407
666	0.3334737432	0.4282604185
667	0.3332908257	0.4280702766
668	0.3332026524	0.428017826
669	0.3328155569	0.4274069006
670	0.3326591383	0.4272547291
671	0.3325073683	0.4270572384
672	0.3322029618	0.4266931376
673	0.3318635354	0.426240264
674	0.3317401846	0.4260804407
675	0.3315099892	0.4257463609
676	0.3313903465	0.4255404016
677	0.3312168237	0.425338595
678	0.3311501379	0.4252831385
679	0.3308459296	0.4249984193
680	0.3306104713	0.4246021731
681	0.3302733729	0.4240332025
682	0.3298687123	0.4236112549
683	0.329578746	0.4231423767
684	0.3294156955	0.4229373106
685	0.3291245765	0.4226272975
686	0.3287449464	0.4220541137
687	0.32839494	0.4215545788
688	0.3282226368	0.4213608878
689	0.3278738297	0.4208258973
690	0.3273512869	0.4201628732
691	0.3272027364	0.4199375575
692	0.3270065011	0.4198148575
693	0.3268567172	0.419570407
694	0.3266587999	0.4190370751
695	0.326540352	0.4188849335
696	0.326414066	0.4187329411
697	0.3260825197	0.4182128889
698	0.3258745232	0.418078935
699	0.3252349544	0.4173639089
700	0.3244753548	0.4162155314
701	0.3242771543	0.4160252209
702	0.3242392248	0.4159965471
703	0.323671747	0.4153295484
704	0.3234872276	0.4151410935
705	0.3233794007	0.4150739135
706	0.3231195165	0.414775376
707	0.3229335873	0.4145449736
708	0.3225730717	0.4140920167
709	0.3222370536	0.4137031565
710	0.3217975709	0.4132995136
711	0.3216140757	0.4131211568
712	0.3213569815	0.4128285774
713	0.3210731244	0.4123841668
714	0.3210252997	0.4123406141
715	0.3206553505	0.4117898628
716	0.320494671	0.4116004617
717	0.3202801344	0.4113562634
718	0.3201212979	0.4111704119
719	0.3198674556	0.4108836319
720	0.3196170372	0.4106036367
721	0.3194000883	0.4103784557
722	0.3191454081	0.4100193298
723	0.3189548298	0.4097062545
724	0.318771144	0.409525709
725	0.3184943178	0.4090996427
726	0.3182984996	0.4089224586
727	0.3180431579	0.4086211855
728	0.3178270061	0.4082888882
729	0.317515755	0.4078104797
730	0.3172463012	0.407366828
731	0.316806631	0.4069668044
732	0.3165613529	0.4066910567
733	0.316387113	0.4064720623
734	0.3161280212	0.4062047225
735	0.3160317825	0.4061480143
736	0.3159294946	0.4060362242
737	0.3156942631	0.4056999124
738	0.3152902476	0.4051119262
739	0.3152498602	0.4050669524
740	0.3152020611	0.4050261582
741	0.3150718742	0.4049063465
742	0.3149752099	0.4048478969
743	0.3146014146	0.4044007559
744	0.3145024924	0.4043460145
745	0.3143754957	0.4040675394
746	0.3139942265	0.4036302744
747	0.3139620192	0.4036104433
748	0.3135450801	0.403122948
749	0.3133912549	0.4029360747
750	0.3133132563	0.4029056527
751	0.3127923128	0.4022962469
752	0.3122608981	0.4017638775
753	0.312110548	0.4015836399
754	0.3114745151	0.4008823333
755	0.3112103713	0.4005342894
756	0.3110087492	0.4002814147
757	0.3107998945	0.4000996543
758	0.3106158789	0.3998121145
759	0.3104681299	0.399577712
760	0.3102728676	0.3992999985
761	0.3101074458	0.3991775874
762	0.3099458431	0.399022028
763	0.3097061316	0.3987566954
764	0.3095214954	0.3984885342
765	0.3092311383	0.3982212098
766	0.3091490697	0.3981697864
767	0.3090381758	0.3979810807
768	0.3088670901	0.3976863145
769	0.3086913709	0.397520463
770	0.3085070279	0.3973208786
771	0.3081459991	0.3968546511
772	0.3080563205	0.3967232308
773	0.3078413749	0.3964009074
774	0.3076460832	0.3962228904
775	0.3075795156	0.3961773957
776	0.3073380821	0.3958810309
777	0.3072264334	0.395742266
778	0.3068668136	0.3952154349
779	0.306592711	0.3947485808
780	0.30623129	0.3940175387
781	0.3061725547	0.3939828452
782	0.3060684918	0.3938535359
783	0.3058585821	0.3936443796
784	0.305774929	0.3934151617
785	0.3055887549	0.3929791649
786	0.3052747757	0.3924488742
787	0.3051314661	0.3922238089
788	0.3050465473	0.3921409588
789	0.3050140881	0.3920962287
790	0.3049686455	0.3920545343
791	0.3047585128	0.3917638547
792	0.3046282757	0.3915673842
793	0.3044194072	0.3912536689
794	0.3042635829	0.3909368109
795	0.3041522664	0.3907304414
796	0.3039645426	0.3905103281
797	0.3036157086	0.3901106056
798	0.3034905678	0.3900169068
799	0.3032923459	0.3897193453
800	0.30317053	0.3895911592
801	0.302975489	0.3892999176
802	0.3028468017	0.3891493345
803	0.3025387762	0.3887413499
804	0.3022985658	0.3882787796
805	0.3022512875	0.388248327
806	0.3019119562	0.3876428877
807	0.3015618986	0.3873294174
808	0.301480288	0.3872088683
809	0.3010556874	0.3868148893
810	0.3008728431	0.3865606931
811	0.3006453222	0.3863260848
812	0.3005421824	0.3862692869
813	0.3001607739	0.385869425
814	0.299817699	0.3853633006
815	0.2995623172	0.3851029607
816	0.2994037417	0.3849398086
817	0.2993255041	0.3847147457
818	0.2991032744	0.3845501719
819	0.2987322063	0.3841215603
820	0.2986505231	0.3839647548
821	0.2983792458	0.3836126672
822	0.2981903021	0.3833923449
823	0.2980516905	0.3832370293
824	0.2979060431	0.38307241
825	0.2977588386	0.3827950499
826	0.2973403805	0.3821769833
827	0.2971052198	0.3819187217
828	0.2968273268	0.3814905516
829	0.296646063	0.3812697445
830	0.2964265128	0.380932127
831	0.2962863586	0.3808251573
832	0.2962417401	0.3805459516
833	0.2960768091	0.3802854969
834	0.2957753664	0.3798817123
835	0.2957232352	0.3798589048
836	0.295478781	0.3796119414
837	0.2954493904	0.3795668525
838	0.2953102287	0.3794122614
839	0.2952062476	0.3792725303
840	0.2951166733	0.3792277716
841	0.2948133541	0.3789340824
842	0.2944106452	0.3783673743
843	0.2942618647	0.3781594073
844	0.2940067788	0.3778630442
845	0.2937836472	0.3774727067
846	0.2936980581	0.3774248631
847	0.293319149	0.3768925185
848	0.2931604529	0.3766905819
849	0.2926294092	0.3760496295
850	0.2923378165	0.3756934981
851	0.2921667462	0.3754936846
852	0.2918731025	0.3751422828
853	0.2918316964	0.3750977529
854	0.2916836238	0.3748454339
855	0.2916440093	0.3748236761
856	0.2915424658	0.3747045889
857	0.2913331848	0.3744385289
858	0.2913085958	0.3744224485
859	0.2911032847	0.3740549079
860	0.2910152977	0.3739447737
861	0.2907692646	0.373678525
862	0.2903626912	0.3732991266
863	0.2901876607	0.3730383787
864	0.2900025134	0.3727066174
865	0.2899812611	0.3726746828
866	0.2898005452	0.3724708658
867	0.2895340818	0.3721482741
868	0.2893487194	0.3718921665
869	0.2891702095	0.3716928317
870	0.2889917771	0.3715655093
871	0.2886493017	0.3712698186
872	0.2884672345	0.3710217344
873	0.2882961855	0.3707701684
874	0.2879960598	0.3700774604
875	0.2878693109	0.3699248433
876	0.2876930062	0.3697290042
877	0.2875252234	0.3695133723
878	0.2872398887	0.3692401145
879	0.2870831927	0.369039819
880	0.286913956	0.3687932386
881	0.2868386709	0.3686750066
882	0.2867120435	0.3684978787
883	0.2866320268	0.3683601903
884	0.2861076191	0.3675249864
